x,y,ang_contr,pdoa,imu_x_g,imu_y_g,imu_z_g
3.756399,-3.249237,2.7558,-12.12,-0.0234,0.1289,-0.1646
3.850919,-2.012378,7.1074,-12.12,-0.0234,0.1289,-0.1646
3.8522,-2.000126,7.1866,-12.12,-0.0234,0.1289,-0.1646
3.850919,-2.012378,7.1074,-12.12,-0.0234,0.1289,-0.1646
3.954564,3.574683,174.3355,-12.12,-0.0234,0.1289,-0.1646
3.951411,3.594537,174.4164,-15.3,-0.0234,0.1289,-0.1646
3.954564,3.574683,174.3355,-15.3,-0.0234,0.1289,-0.1646
4.078399,3.567297,172.3618,-15.3,-0.0234,0.1289,-0.1646
3.996241,3.931308,174.2445,-15.11,-0.0234,0.1289,-0.1646
4.103642,2.864944,170.0296,-15.11,-0.0234,0.1289,-0.1646
4.087387,2.976703,170.7013,-15.11,-0.0234,0.1289,-0.1646
4.106463,2.840671,169.891,-15.11,-0.0234,0.1289,-0.1646
4.106544,2.840117,169.8874,-12.98,-0.0234,0.1289,-0.1646
3.739221,3.585149,177.7762,-12.98,-0.0234,0.1289,-0.1646
3.829244,2.842865,175.3897,-12.98,-0.0234,0.1289,-0.1646
3.829244,2.842865,175.3897,-12.98,-0.0234,0.1289,-0.1646
3.693189,3.587008,178.5118,-12.98,-0.0234,0.1289,-0.1646
3.70644,3.471079,178.2436,-19.6,-0.0117,0.1289,-0.1645
3.721049,3.350553,177.9309,-19.6,-0.0117,0.1289,-0.1645
3.723941,3.327146,177.8666,-19.6,-0.0117,0.1289,-0.1645
3.734457,3.242933,177.6258,-19.6,-0.0117,0.1289,-0.1645
3.776356,2.917672,176.541,-7.102,-0.0117,0.1289,-0.1645
3.754607,3.086738,177.1326,-7.102,-0.0117,0.1289,-0.1645
3.754162,3.090405,177.1442,-7.102,-0.0117,0.1289,-0.1645
3.754607,3.086738,177.1326,-7.102,-0.0117,0.1289,-0.1645
3.948184,3.575036,174.4373,-13.96,-0.0117,0.1289,-0.1645
3.92184,3.7388,175.08,-13.96,-0.0117,0.1289,-0.1645
3.948184,3.575036,174.4373,-13.96,-0.0117,0.1289,-0.1645
3.895067,3.577871,175.2855,-13.96,-0.0117,0.1289,-0.1645
3.991958,2.925748,172.3696,-13.96,-0.0117,0.1289,-0.1645
3.910561,3.262146,174.5618,-9.12,-0.0117,0.1289,-0.1645
3.942924,2.975998,173.4268,-15.38,-0.0117,0.1289,-0.1645
3.85408,3.73664,176.1101,-15.38,-0.0117,0.1289,-0.1645
3.946316,2.711214,172.7208,-15.38,-0.0117,0.1289,-0.1645
4.023168,2.095647,168.5839,-12.74,-0.0117,0.1289,-0.1645
4.029259,2.054695,168.1997,-12.74,-0.0117,0.1289,-0.1645
4.023168,2.095647,168.5839,-12.74,-0.0117,0.1289,-0.1645
3.979386,3.573284,173.9394,-12.74,-0.0117,0.1289,-0.1645
3.903456,3.965182,175.6237,-10.52,-0.0117,0.1289,-0.1645
4.101556,1.707926,163.6344,-10.52,-0.0117,0.1289,-0.1645
4.002048,2.407174,170.518,-10.52,-0.0117,0.1289,-0.1645
3.962085,2.725374,172.4322,-10.52,-0.0078,0.1172,-0.1646
3.846684,3.751068,176.2374,-13.98,-0.0078,0.1172,-0.1646
3.919481,2.894419,173.7013,-13.98,-0.0078,0.1172,-0.1646
3.997915,2.154753,169.5372,-13.98,-0.0078,0.1172,-0.1646
3.901062,2.935032,174.1434,-13.98,-0.0078,0.1172,-0.1646
3.941583,2.548506,172.366,-11.112,-0.0078,0.1172,-0.1646
3.904443,2.871771,173.9485,-11.112,-0.0078,0.1172,-0.1646
3.981753,2.157794,169.9672,-11.112,-0.0078,0.1172,-0.1646
3.902316,2.81693,173.8744,-8.44,-0.0078,0.1172,-0.1646
3.943256,2.431817,171.9657,-8.44,-0.0078,0.1172,-0.1646
3.973104,2.174931,170.2658,-8.44,-0.0078,0.1172,-0.1646
3.97332,2.173162,170.2525,-9.6,-0.0078,0.1172,-0.1646
3.973104,2.174931,170.2658,-9.6,-0.0078,0.1172,-0.1646
4.048755,3.569158,172.8337,-9.6,-0.0078,0.1172,-0.1646
4.044111,3.595632,172.9588,-12.88,-0.0078,0.1172,-0.1646
4.039063,3.624866,173.0937,-12.88,-0.0078,0.1172,-0.1646
4.039885,3.620025,173.0717,-12.88,-0.0078,0.1172,-0.1646
4.039063,3.624866,173.0937,-12.88,-0.0078,0.1172,-0.1646
4.212082,3.558146,170.2394,-14.44,-0.0078,0.1172,-0.1646
4.159645,3.786473,171.5925,-14.44,-0.0078,0.1172,-0.1646
4.175947,3.682555,171.111,-14.44,-0.0078,0.1172,-0.1646
4.212307,3.459968,169.9643,-14.44,-0.0078,0.1172,-0.1646
4.214354,3.448619,169.899,-9.8,-0.0078,0.1172,-0.1646
4.209651,3.474565,170.0481,-9.8,-0.0078,0.1172,-0.1646
4.195763,3.552177,170.4791,-9.8,-0.0078,0.1172,-0.1646
4.18507,3.614148,170.8046,-10.52,-0.0117,0.0938,-0.1647
4.211246,3.457875,169.9754,-10.52,-0.0117,0.0938,-0.1647
4.211246,3.457875,169.9754,-10.52,-0.0117,0.0938,-0.1647
4.104512,3.565607,171.9465,-12.8,-0.0117,0.0938,-0.1647
4.15356,3.306433,170.4957,-12.8,-0.0117,0.0938,-0.1647
4.14801,3.311218,170.6027,-12.8,-0.0117,0.0938,-0.1647
4.194448,3.043805,168.9494,-13.14,-0.0117,0.0938,-0.1647
4.198292,3.024207,168.8094,-13.14,-0.0117,0.0938,-0.1647
4.196841,3.031532,168.8622,-13.14,-0.0117,0.0938,-0.1647
4.177197,3.131069,169.5551,-13.14,-0.0117,0.0938,-0.1647
4.156958,3.239457,170.2446,-13.14,-0.0117,0.0938,-0.1647
4.126601,3.411524,171.2251,-15.104,-0.0117,0.0938,-0.1647
4.173903,3.119019,169.5741,-15.104,-0.0117,0.0938,-0.1647
4.142032,3.292614,170.6518,-15.104,-0.0117,0.0938,-0.1647
4.150516,3.242301,170.3636,-8.44,-0.0117,0.0938,-0.1647
4.182206,3.05816,169.2211,-8.44,-0.0117,0.0938,-0.1647
