x,y,ang_contr,pdoa,imu_x_g,imu_y_g,imu_z_g
2.762481,1.139806,-36.3081,-153.0,-0.0234,0.0586,-0.1616
2.751273,1.059352,-38.7009,-153.0,-0.0234,0.0586,-0.1616
2.757547,1.136527,-36.5478,-153.0,-0.0234,0.0586,-0.1616
2.73967,1.130226,-37.2785,-153.0,-0.0234,0.0586,-0.1616
2.792312,1.078557,-36.828,-153.54,-0.0234,0.0586,-0.1616
2.777276,1.049855,-38.0842,-153.54,-0.0234,0.0586,-0.1616
2.787854,1.052514,-37.6547,-153.54,-0.0234,0.0586,-0.1616
2.787393,2.136144,-20.8272,-153.12,-0.0234,0.0586,-0.1616
2.788261,1.052092,-37.6519,-153.12,-0.0977,0.1719,-0.1615
2.769058,1.072311,-37.7724,-152.108,-0.0977,0.1719,-0.1615
2.793329,1.046961,-37.6138,-152.108,-0.0977,0.1719,-0.1615
2.76284,1.079127,-37.8034,-152.108,-0.0977,0.1719,-0.1615
2.766749,1.075055,-37.7785,-152.108,-0.0977,0.1719,-0.1615
2.771564,1.07003,-37.7476,-152.112,-0.0977,0.1719,-0.1615
2.783571,1.057479,-37.67,-152.112,-0.0977,0.1719,-0.1615
2.80504,1.034925,-37.5291,-152.112,-0.0977,0.1719,-0.1615
2.789447,1.051458,-37.6281,-151.11,-0.0977,0.1719,-0.1615
2.784434,1.056115,-37.6765,-151.11,-0.0977,0.1719,-0.1615
2.770622,3.028904,-15.3134,-152.84,-0.0977,0.1719,-0.1615
2.767858,2.673337,-17.29,-152.84,-0.0977,0.1719,-0.1615
2.754739,2.131932,-21.6272,-151.6,-0.0977,0.1719,-0.1615
2.748179,1.877437,-24.4045,-151.6,-0.0977,0.1719,-0.1615
2.761483,2.392515,-19.3143,-151.6,-0.0977,0.1719,-0.1615
2.761405,2.389448,-19.3389,-151.6,-0.0977,0.1719,-0.1615
2.761483,2.392515,-19.3143,-151.6,-0.0977,0.1719,-0.1615
2.809311,3.598463,-12.3926,-151.6,-0.0977,0.1719,-0.1615
2.778579,2.580429,-17.6577,-151.6,-0.0977,0.1719,-0.1615
2.784582,2.764056,-16.4365,-151.102,-0.0977,0.1719,-0.1615
2.774555,2.434821,-18.7275,-151.102,-0.0977,0.1719,-0.1615
2.784159,2.719996,-16.6962,-151.102,-0.0977,0.1719,-0.1615
2.791977,2.978556,-15.1779,-151.102,-0.0977,0.1719,-0.1615
2.714128,2.128847,-22.5936,-151.118,-0.0039,0.0664,-0.1615
2.715468,2.185275,-22.0366,-151.118,-0.0039,0.0664,-0.1615
2.79588,2.994274,-15.0323,-151.118,-0.0039,0.0664,-0.1615
2.796202,3.006736,-14.967,-151.118,-0.0039,0.0664,-0.1615
2.79588,2.994274,-15.0323,-151.106,-0.0039,0.0664,-0.1615
2.858777,1.884189,-21.4742,-151.106,-0.0039,0.0664,-0.1615
2.856929,1.796062,-22.476,-151.106,-0.0039,0.0664,-0.1615
2.859065,1.87927,-21.5177,-150.54,-0.0039,0.0664,-0.1615
2.816623,0.050574,-86.3062,-150.54,-0.0039,0.0664,-0.1615
2.842849,-1.99392,-159.2067,-150.54,-0.0039,0.0664,-0.1615
2.701585,0.206058,-77.0822,-150.32,-0.0039,0.0664,-0.1615
2.711343,0.196129,-77.5542,-150.32,-0.0039,0.0664,-0.1615
2.718999,0.188323,-77.934,-150.32,-0.0039,0.0664,-0.1615
2.776785,3.196196,-14.4432,-150.5,-0.0039,0.0664,-0.1615
2.711343,0.196129,-77.5542,-113.8,-0.0625,0.1016,-0.1616
3.225918,3.598689,-5.9346,-113.8,-0.0625,0.1016,-0.1616
3.231479,3.447781,-6.101,-102.22,-0.0625,0.1016,-0.1616
3.206903,1.380987,-15.889,-102.22,-0.0625,0.1016,-0.1616
3.195759,1.38013,-16.3253,-102.22,-0.0625,0.1016,-0.1616
3.215202,1.39067,-15.4668,-97.76,-0.0781,0.1211,-0.1616
3.21039,1.566913,-13.9633,-97.76,-0.0781,0.1211,-0.1616
3.215202,1.39067,-15.4668,-99.92,-0.0781,0.1211,-0.1616
3.171309,1.475603,-16.1996,-99.92,-0.0781,0.1211,-0.1616
3.16258,1.875395,-13.129,-99.92,-0.0781,0.1211,-0.1616
3.180585,1.01035,-22.5442,-95.14,-0.0156,0.1367,-0.1615
